Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Contaminants,Data Available,Source
Cherokee County Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Piedmont, Alabama,10740,https://www.ewg.org/tapwater/system.php?pws=AL0000189,6,11 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Total trihalomethanes (TTHMs);Aluminum;Haloacetic acids (HAA5);Radium%2C combined (-226 & -228);Strontium;Vanadium,2012-2017,Groundwater
Citizens Water Service%2C Inc.,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Brookwood, Alabama,10950,https://www.ewg.org/tapwater/system.php?pws=AL0001293,3,5 ,Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Haloacetic acids (HAA5);Manganese,2012-2017,Groundwater
City of Cullman Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cullman, Alabama,31080,https://www.ewg.org/tapwater/system.php?pws=AL0001786,5,14 ,Bromodichloromethane*;Chlorite*;Chloroform*;Chromium (hexavalent);Total trihalomethanes (TTHMs);2%2C4-D*;Aluminum*;Barium*;Chlorate;Chromium (total);Haloacetic acids (HAA5);Manganese*;Strontium;Vanadium,2012-2017,Purchased surface water
City of Talladega Water and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Talladega, Alabama,19284,https://www.ewg.org/tapwater/system.php?pws=AL0001260,7,20 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C1-Dichloroethane;1%2C4-Dioxane;Aluminum;Barium;Chromium (total);Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;MTBE;Strontium;Tetrachloroethylene (perchloroethylene);Vanadium,2012-2017,Surface water
Clanton Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Clanton, Alabama,13500,https://www.ewg.org/tapwater/system.php?pws=AL0000213,9,16 ,Bromodichloromethane;Chlorite;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Perfluoroheptanoic acid (PFHPA);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Chlorate;Chromium (hexavalent);Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Colbert County Rural Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Tuscumbia, Alabama,10731,https://www.ewg.org/tapwater/system.php?pws=AL0000314,7,16 ,Chlorite;Chloroform;Chromium (hexavalent);Dibromochloromethane;Perfluorooctane sulfonate (PFOS);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Barium;Chlorate;Chromium (total);Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Columbiana Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Columbiana, Alabama,10881,https://www.ewg.org/tapwater/system.php?pws=AL0001151,8,14 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Bromoform;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Groundwater
Covington County Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Andalusia, Alabama,13089,https://www.ewg.org/tapwater/system.php?pws=AL0000361,4,11 ,Bromoform;Chromium (hexavalent);Dibromochloromethane;Total trihalomethanes (TTHMs);Bromodichloromethane;Chromium (total);Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Vanadium,2012-2017,Groundwater
Cullman County Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cullman, Alabama,47658,https://www.ewg.org/tapwater/system.php?pws=AL0000394,2,7 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);Chlorate;Chromium (total)*;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Purchased surface water
Curry Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Jasper, Alabama,17160,https://www.ewg.org/tapwater/system.php?pws=AL0001432,9,13 ,Bromodichloromethane*;Chlorate;Chlorite*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Nitrate*;Nitrate and nitrite*;Total trihalomethanes (TTHMs);Fluoride*;Haloacetic acids (HAA5);Strontium;Vanadium*,2012-2017,Purchased surface water
Daphne,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Daphne, Alabama,25968,https://www.ewg.org/tapwater/system.php?pws=AL0000029,3,11 ,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Aluminum;Barium;Chlorate;Cobalt;Manganese;Strontium;Total trihalomethanes (TTHMs);Vanadium,2012-2017,Groundwater
Decatur,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Decatur, Alabama,77100,https://www.ewg.org/tapwater/system.php?pws=AL0001084,7,13 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Chlorate;Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
Dekalb-Jackson Water Supply District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Jackson County, Alabama,14937,https://www.ewg.org/tapwater/system.php?pws=AL0001796,7,9 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Haloacetic acids (HAA5);Manganese,2012-2017,Surface water
Demopolis Water Works and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Demopolis, Alabama,12453,https://www.ewg.org/tapwater/system.php?pws=AL0000908,1,6 ,Total trihalomethanes (TTHMs);Chromium (hexavalent);Cyanide;Haloacetic acids (HAA5);Nitrate;Strontium,2012-2017,Groundwater
Dothan Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Dothan, Alabama,90069,https://www.ewg.org/tapwater/system.php?pws=AL0000681,6,23 ,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Total trihalomethanes (TTHMs);Barium;Benzene;Bromochloromethane;Bromoform;Chlorate;Di(2-ethylhexyl) phthalate;Dichloromethane (methylene chloride);Dieldrin;Ethylbenzene;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Radium%2C combined (-226 & -228);Strontium;Vanadium;Xylenes (total),2012-2017,Groundwater
Douglas,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Douglas, Alabama,16632,https://www.ewg.org/tapwater/system.php?pws=AL0000940,3,9 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (total);Haloacetic acids (HAA5);Strontium,2012-2017,Groundwater
East Alabama Water Sewer and Fire Protection District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Chambers County, Alabama,18000,https://www.ewg.org/tapwater/system.php?pws=AL0000174,3,8 ,Chlorate;Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
East Cullman Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cullman, Alabama,11781,https://www.ewg.org/tapwater/system.php?pws=AL0000402,2,7 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);Chlorate;Chromium (total)*;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Purchased surface water
Elmore Water and Sewer Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Elmore, Alabama,12690,https://www.ewg.org/tapwater/system.php?pws=AL0000535,3,11 ,Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Chlorate;Chromium (total);Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Vanadium,2012-2017,Groundwater
Enterprise Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Enterprise, Alabama,38500,https://www.ewg.org/tapwater/system.php?pws=AL0000296,1,7 ,Total trihalomethanes (TTHMs);Barium;Bromodichloromethane;Chloroform;Chromium (hexavalent);Radium%2C combined (-226 & -228);Strontium,2012-2017,Groundwater
Eufaula Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Eufaula, Alabama,17958,https://www.ewg.org/tapwater/system.php?pws=AL0000085,4,13 ,Arsenic;Bromodichloromethane;Dibromochloromethane;Total trihalomethanes (TTHMs);Antimony;Bromoform;Chloroform;Chromium (hexavalent);Haloacetic acids (HAA5);Nitrate;Selenium;Strontium;Vanadium,2012-2017,Groundwater
Fairhope Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Fairhope, Alabama,38754,https://www.ewg.org/tapwater/system.php?pws=AL0000035,4,9 ,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Cobalt;Haloacetic acids (HAA5);Strontium,2012-2017,Groundwater
Florence Water-Wastewater Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Florence, Alabama,66900,https://www.ewg.org/tapwater/system.php?pws=AL0000783,9,17 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Perfluorooctane sulfonate (PFOS);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Chlorate;Fluoride;Haloacetic acids (HAA5);Perfluorooctanoic acid (PFOA);Strontium;Vanadium,2012-2017,Surface water
Foley,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Foley, Alabama,20880,https://www.ewg.org/tapwater/system.php?pws=AL0000036,3,7 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Chromium (total);Haloacetic acids (HAA5);Manganese;Strontium,2012-2017,Groundwater
Fort Payne Water Works Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Fort Payne, Alabama,21363,https://www.ewg.org/tapwater/system.php?pws=AL0000509,8,15 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
