Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
Boaz Water and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Boaz, Alabama,29196,https://www.ewg.org/tapwater/system.php?pws=AL0000936,8,17 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Nitrate*;Nitrate and nitrite*;Perfluoroheptanoic acid (PFHPA);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs),Barium*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5);Molybdenum*;Strontium;Vanadium
Butler County Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Greenville, Alabama,13395,https://www.ewg.org/tapwater/system.php?pws=AL0001507,4,8 ,2012-2017,Groundwater,Bromodichloromethane;Bromoform;Dibromochloromethane;Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Nitrate;Strontium
Calera Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Calera, Alabama,21600,https://www.ewg.org/tapwater/system.php?pws=AL0001150,7,11 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Strontium;Vanadium
Calhoun County Water and Fire Protection Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alexandria, Alabama,30810,https://www.ewg.org/tapwater/system.php?pws=AL0000131,3,10 ,2012-2017,Groundwater,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs),Chlorate;Chloroform;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium
Carrolls Creek Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Northport, Alabama,13443,https://www.ewg.org/tapwater/system.php?pws=AL0001540,8,16 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chlorate;Chlorite*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs),Aluminum*;Fluoride*;Haloacetic acids (HAA5);Manganese*;Nitrate*;Nitrate and nitrite*;Strontium
Central Elmore Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Wetumpka, Alabama,32877,https://www.ewg.org/tapwater/system.php?pws=AL0000547,4,15 ,2012-2017,Surface water,Arsenic;Bromodichloromethane;Chloroform;Total trihalomethanes (TTHMs),Barium;Chlorate;Chromium (hexavalent);Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Nitrate and nitrite;Strontium
Cherokee County Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Piedmont, Alabama,10740,https://www.ewg.org/tapwater/system.php?pws=AL0000189,6,11 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Radium%2C combined (-226 & -228);Strontium;Vanadium
Citizens Water Service%2C Inc.,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Brookwood, Alabama,10950,https://www.ewg.org/tapwater/system.php?pws=AL0001293,3,5 ,2012-2017,Groundwater,Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Manganese
City of Cullman Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cullman, Alabama,31080,https://www.ewg.org/tapwater/system.php?pws=AL0001786,5,14 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chlorite*;Chloroform*;Chromium (hexavalent);Total trihalomethanes (TTHMs),Aluminum*;Barium*;Chlorate;Chromium (total);Haloacetic acids (HAA5);Manganese*;Strontium;Vanadium
City of Talladega Water and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Talladega, Alabama,19284,https://www.ewg.org/tapwater/system.php?pws=AL0001260,7,20 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),1%2C4-Dioxane;Aluminum;Barium;Chromium (total);Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;MTBE;Strontium;Tetrachloroethylene (perchloroethylene);Vanadium
Clanton Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Clanton, Alabama,13500,https://www.ewg.org/tapwater/system.php?pws=AL0000213,9,16 ,2012-2017,Surface water,Bromodichloromethane;Chlorite;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Perfluoroheptanoic acid (PFHPA);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs),Chlorate;Chromium (hexavalent);Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
Colbert County Rural Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Tuscumbia, Alabama,10731,https://www.ewg.org/tapwater/system.php?pws=AL0000314,7,16 ,2012-2017,Surface water,Chlorite;Chloroform;Chromium (hexavalent);Dibromochloromethane;Perfluorooctane sulfonate (PFOS);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs),Aluminum;Barium;Chlorate;Chromium (total);Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
Columbiana Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Columbiana, Alabama,10881,https://www.ewg.org/tapwater/system.php?pws=AL0001151,8,14 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Bromoform;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium
Covington County Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Andalusia, Alabama,13089,https://www.ewg.org/tapwater/system.php?pws=AL0000361,4,11 ,2012-2017,Groundwater,Bromoform;Chromium (hexavalent);Dibromochloromethane;Total trihalomethanes (TTHMs),Chromium (total);Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Vanadium
Cullman County Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cullman, Alabama,47658,https://www.ewg.org/tapwater/system.php?pws=AL0000394,2,7 ,2012-2017,Purchased surface water,Chromium (hexavalent);Total trihalomethanes (TTHMs),Chromium (total)*;Haloacetic acids (HAA5);Strontium;Vanadium
Curry Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Jasper, Alabama,17160,https://www.ewg.org/tapwater/system.php?pws=AL0001432,9,13 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chlorate;Chlorite*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Nitrate*;Nitrate and nitrite*;Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Strontium;Vanadium*
Daphne,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Daphne, Alabama,25968,https://www.ewg.org/tapwater/system.php?pws=AL0000029,3,11 ,2012-2017,Groundwater,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228),Barium;Chlorate;Cobalt;Manganese;Strontium;Total trihalomethanes (TTHMs);Vanadium
Decatur,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Decatur, Alabama,77100,https://www.ewg.org/tapwater/system.php?pws=AL0001084,7,13 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Chlorate;Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Dekalb-Jackson Water Supply District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Jackson County, Alabama,14937,https://www.ewg.org/tapwater/system.php?pws=AL0001796,7,9 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Manganese
Demopolis Water Works and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Demopolis, Alabama,12453,https://www.ewg.org/tapwater/system.php?pws=AL0000908,1,6 ,2012-2017,Groundwater,Total trihalomethanes (TTHMs),Cyanide;Haloacetic acids (HAA5);Nitrate;Strontium
Dothan Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Dothan, Alabama,90069,https://www.ewg.org/tapwater/system.php?pws=AL0000681,6,23 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Total trihalomethanes (TTHMs),Benzene;Bromochloromethane;Bromoform;Chlorate;Di(2-ethylhexyl) phthalate;Dichloromethane (methylene chloride);Dieldrin;Ethylbenzene;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Radium%2C combined (-226 & -228);Strontium;Vanadium;Xylenes (total)
Douglas,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Douglas, Alabama,16632,https://www.ewg.org/tapwater/system.php?pws=AL0000940,3,9 ,2012-2017,Groundwater,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs),Barium;Chlorate;Chromium (total);Haloacetic acids (HAA5);Strontium
East Alabama Water Sewer and Fire Protection District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Chambers County, Alabama,18000,https://www.ewg.org/tapwater/system.php?pws=AL0000174,3,8 ,2012-2017,Purchased surface water,Chlorate;Chromium (hexavalent);Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
East Cullman Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cullman, Alabama,11781,https://www.ewg.org/tapwater/system.php?pws=AL0000402,2,7 ,2012-2017,Purchased surface water,Chromium (hexavalent);Total trihalomethanes (TTHMs),Chromium (total)*;Haloacetic acids (HAA5);Strontium;Vanadium
Elmore Water and Sewer Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Elmore, Alabama,12690,https://www.ewg.org/tapwater/system.php?pws=AL0000535,3,11 ,2012-2017,Groundwater,Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chlorate;Chromium (total);Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Vanadium
Enterprise Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Enterprise, Alabama,38500,https://www.ewg.org/tapwater/system.php?pws=AL0000296,1,7 ,2012-2017,Groundwater,Total trihalomethanes (TTHMs),Bromodichloromethane;Chloroform;Chromium (hexavalent);Radium%2C combined (-226 & -228);Strontium
Eufaula Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Eufaula, Alabama,17958,https://www.ewg.org/tapwater/system.php?pws=AL0000085,4,13 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Dibromochloromethane;Total trihalomethanes (TTHMs),Bromoform;Chloroform;Chromium (hexavalent);Haloacetic acids (HAA5);Nitrate;Selenium;Strontium;Vanadium
Fairhope Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Fairhope, Alabama,38754,https://www.ewg.org/tapwater/system.php?pws=AL0000035,4,9 ,2012-2017,Groundwater,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Barium;Cobalt;Haloacetic acids (HAA5);Strontium
Florence Water-Wastewater Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Florence, Alabama,66900,https://www.ewg.org/tapwater/system.php?pws=AL0000783,9,17 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Perfluorooctane sulfonate (PFOS);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Aluminum;Chlorate;Fluoride;Haloacetic acids (HAA5);Perfluorooctanoic acid (PFOA);Strontium;Vanadium
Foley,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Foley, Alabama,20880,https://www.ewg.org/tapwater/system.php?pws=AL0000036,3,7 ,2012-2017,Groundwater,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Manganese;Strontium
Fort Payne Water Works Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Fort Payne, Alabama,21363,https://www.ewg.org/tapwater/system.php?pws=AL0000509,8,15 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Fort Rucker - American Water,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Fort Rucker, Alabama,11000,https://www.ewg.org/tapwater/system.php?pws=AL0001489,3,8 ,2012-2017,Groundwater,Bromodichloromethane;Dibromochloromethane;Total trihalomethanes (TTHMs),Chloroform;Chromium (hexavalent);Haloacetic acids (HAA5);Strontium
